partido_id,set_num,set_num_norm,strength_h,strength_a,strength_diff,set_wr_h,set_wr_a,diff_set_wr,forma_h,forma_a,diff_forma,pts_fav_h,pts_fav_a,h2h_diff,sets_h_antes,sets_a_antes,diff_sets_antes,momentum_h,es_desempate,ganador_set_local
2025/2026_Bresc_Prata_10Round,5,1.0,0.5763,0.36,0.21630000000000005,0.5308,0.4417,0.08910000000000007,0.5333,0.4667,0.06659999999999999,4.7012,3.5473,0.0,5,2,3,1.0,1,1
2025/2026_Bresc_Raven_8Round,1,0.0,0.5614,0.561,0.00039999999999995595,0.5231,0.525,-0.0019000000000000128,0.5333,0.6,-0.06669999999999998,3.7885,3.4733,0.0,0,0,0,0.5,0,1
2025/2026_Bresc_Raven_8Round,1,0.0,0.5614,0.561,0.00039999999999995595,0.5231,0.525,-0.0019000000000000128,0.5333,0.6,-0.06669999999999998,3.7885,3.4733,0.0,1,0,1,1.0,0,1
2025/2026_Bresc_Raven_8Round,2,0.25,0.5614,0.561,0.00039999999999995595,0.5231,0.525,-0.0019000000000000128,0.5333,0.6,-0.06669999999999998,3.7885,3.4733,0.0,2,0,2,1.0,0,1
2025/2026_Bresc_Raven_8Round,2,0.25,0.5614,0.561,0.00039999999999995595,0.5231,0.525,-0.0019000000000000128,0.5333,0.6,-0.06669999999999998,3.7885,3.4733,0.0,3,0,3,1.0,0,1
2025/2026_Bresc_Raven_8Round,3,0.5,0.5614,0.561,0.00039999999999995595,0.5231,0.525,-0.0019000000000000128,0.5333,0.6,-0.06669999999999998,3.7885,3.4733,0.0,4,0,4,1.0,0,0
2025/2026_Bresc_Raven_8Round,3,0.5,0.5614,0.561,0.00039999999999995595,0.5231,0.525,-0.0019000000000000128,0.5333,0.6,-0.06669999999999998,3.7885,3.4733,0.0,4,1,3,0.0,0,0
2025/2026_Bresc_Raven_8Round,4,0.75,0.5614,0.561,0.00039999999999995595,0.5231,0.525,-0.0019000000000000128,0.5333,0.6,-0.06669999999999998,3.7885,3.4733,0.0,4,2,2,0.0,0,1
2025/2026_Bresc_Raven_8Round,4,0.75,0.5614,0.561,0.00039999999999995595,0.5231,0.525,-0.0019000000000000128,0.5333,0.6,-0.06669999999999998,3.7885,3.4733,0.0,5,2,3,1.0,0,1
2025/2026_Bresc_Siena_12Round,1,0.0,0.5738,0.4545,0.11929999999999996,0.5298,0.4693,0.060500000000000054,0.5333,0.6,-0.06669999999999998,4.1551,3.1501,0.0,0,0,0,0.5,0,1
2025/2026_Bresc_Siena_12Round,1,0.0,0.5738,0.4545,0.11929999999999996,0.5298,0.4693,0.060500000000000054,0.5333,0.6,-0.06669999999999998,4.1551,3.1501,0.0,1,0,1,1.0,0,0
2025/2026_Bresc_Siena_12Round,2,0.25,0.5738,0.4545,0.11929999999999996,0.5298,0.4693,0.060500000000000054,0.5333,0.6,-0.06669999999999998,4.1551,3.1501,0.0,1,1,0,0.0,0,1
2025/2026_Bresc_Siena_12Round,2,0.25,0.5738,0.4545,0.11929999999999996,0.5298,0.4693,0.060500000000000054,0.5333,0.6,-0.06669999999999998,4.1551,3.1501,0.0,2,1,1,1.0,0,0
2025/2026_Bresc_Siena_12Round,3,0.5,0.5738,0.4545,0.11929999999999996,0.5298,0.4693,0.060500000000000054,0.5333,0.6,-0.06669999999999998,4.1551,3.1501,0.0,2,2,0,0.0,0,1
2025/2026_Bresc_Siena_12Round,3,0.5,0.5738,0.4545,0.11929999999999996,0.5298,0.4693,0.060500000000000054,0.5333,0.6,-0.06669999999999998,4.1551,3.1501,0.0,3,2,1,1.0,0,0
2025/2026_Bresc_Sorre_1Round,1,0.0,0.56,0.5,0.06000000000000005,0.5265,0.5072,0.019299999999999984,0.6,0.5714,0.02859999999999996,4.1098,3.608,0.0,0,0,0,0.5,0,1
2025/2026_Bresc_Sorre_1Round,1,0.0,0.56,0.5,0.06000000000000005,0.5265,0.5072,0.019299999999999984,0.6,0.5714,0.02859999999999996,4.1098,3.608,0.0,1,0,1,1.0,0,0
2025/2026_Bresc_Sorre_1Round,2,0.25,0.56,0.5,0.06000000000000005,0.5265,0.5072,0.019299999999999984,0.6,0.5714,0.02859999999999996,4.1098,3.608,0.0,1,1,0,0.0,0,1
2025/2026_Bresc_Sorre_1Round,2,0.25,0.56,0.5,0.06000000000000005,0.5265,0.5072,0.019299999999999984,0.6,0.5714,0.02859999999999996,4.1098,3.608,0.0,2,1,1,1.0,0,1
2025/2026_Bresc_Sorre_1Round,3,0.5,0.56,0.5,0.06000000000000005,0.5265,0.5072,0.019299999999999984,0.6,0.5714,0.02859999999999996,4.1098,3.608,0.0,3,1,2,1.0,0,1
2025/2026_Bresc_Sorre_1Round,3,0.5,0.56,0.5,0.06000000000000005,0.5265,0.5072,0.019299999999999984,0.6,0.5714,0.02859999999999996,4.1098,3.608,0.0,4,1,3,1.0,0,1
2025/2026_Bresc_Sorre_1Round,4,0.75,0.56,0.5,0.06000000000000005,0.5265,0.5072,0.019299999999999984,0.6,0.5714,0.02859999999999996,4.1098,3.608,0.0,5,1,4,1.0,0,0
2025/2026_Bresc_Sorre_1Round,5,1.0,0.56,0.5,0.06000000000000005,0.5265,0.5072,0.019299999999999984,0.6,0.5714,0.02859999999999996,4.1098,3.608,0.0,5,2,3,0.0,1,0
2025/2026_Bresc_Taran_5Round,1,0.0,0.5741,0.4762,0.09790000000000004,0.5244,0.4617,0.06269999999999998,0.5333,0.4,0.13329999999999997,4.0644,3.171,0.0,0,0,0,0.5,0,1
2025/2026_Bresc_Taran_5Round,1,0.0,0.5741,0.4762,0.09790000000000004,0.5244,0.4617,0.06269999999999998,0.5333,0.4,0.13329999999999997,4.0644,3.171,0.0,1,0,1,1.0,0,1
2025/2026_Bresc_Taran_5Round,2,0.25,0.5741,0.4762,0.09790000000000004,0.5244,0.4617,0.06269999999999998,0.5333,0.4,0.13329999999999997,4.0644,3.171,0.0,2,0,2,1.0,0,1
2025/2026_Bresc_Taran_5Round,2,0.25,0.5741,0.4762,0.09790000000000004,0.5244,0.4617,0.06269999999999998,0.5333,0.4,0.13329999999999997,4.0644,3.171,0.0,3,0,3,1.0,0,1
2025/2026_Bresc_Taran_5Round,3,0.5,0.5741,0.4762,0.09790000000000004,0.5244,0.4617,0.06269999999999998,0.5333,0.4,0.13329999999999997,4.0644,3.171,0.0,4,0,4,1.0,0,1
2025/2026_Bresc_Taran_5Round,3,0.5,0.5741,0.4762,0.09790000000000004,0.5244,0.4617,0.06269999999999998,0.5333,0.4,0.13329999999999997,4.0644,3.171,0.0,5,0,5,1.0,0,0
2025/2026_Bresc_Taran_5Round,4,0.75,0.5741,0.4762,0.09790000000000004,0.5244,0.4617,0.06269999999999998,0.5333,0.4,0.13329999999999997,4.0644,3.171,0.0,5,1,4,0.0,0,1
2025/2026_Cantù_Fano_7Round,1,0.0,0.5455,0.359,0.1865,0.5,0.4185,0.08150000000000002,0.5333,0.4667,0.06659999999999999,4.1313,3.1496,0.0,0,0,0,0.5,0,1
2025/2026_Cantù_Fano_7Round,1,0.0,0.5455,0.359,0.1865,0.5,0.4185,0.08150000000000002,0.5333,0.4667,0.06659999999999999,4.1313,3.1496,0.0,1,0,1,1.0,0,1
2025/2026_Cantù_Fano_7Round,2,0.25,0.5455,0.359,0.1865,0.5,0.4185,0.08150000000000002,0.5333,0.4667,0.06659999999999999,4.1313,3.1496,0.0,2,0,2,1.0,0,1
2025/2026_Cantù_Fano_7Round,2,0.25,0.5455,0.359,0.1865,0.5,0.4185,0.08150000000000002,0.5333,0.4667,0.06659999999999999,4.1313,3.1496,0.0,3,0,3,1.0,0,0
2025/2026_Cantù_Fano_7Round,3,0.5,0.5455,0.359,0.1865,0.5,0.4185,0.08150000000000002,0.5333,0.4667,0.06659999999999999,4.1313,3.1496,0.0,3,1,2,0.0,0,1
2025/2026_Cantù_Fano_7Round,3,0.5,0.5455,0.359,0.1865,0.5,0.4185,0.08150000000000002,0.5333,0.4667,0.06659999999999999,4.1313,3.1496,0.0,4,1,3,1.0,0,1
2025/2026_Cantù_Fano_7Round,4,0.75,0.5455,0.359,0.1865,0.5,0.4185,0.08150000000000002,0.5333,0.4667,0.06659999999999999,4.1313,3.1496,0.0,5,1,4,1.0,0,0
2025/2026_Cantù_Fano_7Round,5,1.0,0.5455,0.359,0.1865,0.5,0.4185,0.08150000000000002,0.5333,0.4667,0.06659999999999999,4.1313,3.1496,0.0,5,2,3,0.0,1,1
2025/2026_Cantù_Lagon_2Round,1,0.0,0.54,0.5128,0.027200000000000002,0.4932,0.5471,-0.0539,0.5333,0.4286,0.10470000000000002,3.6473,4.8731,0.0,0,0,0,0.5,0,0
2025/2026_Cantù_Lagon_2Round,1,0.0,0.54,0.5128,0.027200000000000002,0.4932,0.5471,-0.0539,0.5333,0.4286,0.10470000000000002,3.6473,4.8731,0.0,0,1,-1,0.0,0,1
2025/2026_Cantù_Lagon_2Round,2,0.25,0.54,0.5128,0.027200000000000002,0.4932,0.5471,-0.0539,0.5333,0.4286,0.10470000000000002,3.6473,4.8731,0.0,1,1,0,1.0,0,0
2025/2026_Cantù_Lagon_2Round,2,0.25,0.54,0.5128,0.027200000000000002,0.4932,0.5471,-0.0539,0.5333,0.4286,0.10470000000000002,3.6473,4.8731,0.0,1,2,-1,0.0,0,1
2025/2026_Cantù_Lagon_2Round,3,0.5,0.54,0.5128,0.027200000000000002,0.4932,0.5471,-0.0539,0.5333,0.4286,0.10470000000000002,3.6473,4.8731,0.0,2,2,0,1.0,0,0
2025/2026_Cantù_Lagon_2Round,3,0.5,0.54,0.5128,0.027200000000000002,0.4932,0.5471,-0.0539,0.5333,0.4286,0.10470000000000002,3.6473,4.8731,0.0,2,3,-1,0.0,0,1
2025/2026_Cantù_Macer_13Round,1,0.0,0.5738,0.4889,0.08489999999999998,0.5175,0.5165,0.0010000000000000009,0.6,0.4,0.19999999999999996,5.0021,3.6256,0.0,0,0,0,0.5,0,0
2025/2026_Cantù_Macer_13Round,1,0.0,0.5738,0.4889,0.08489999999999998,0.5175,0.5165,0.0010000000000000009,0.6,0.4,0.19999999999999996,5.0021,3.6256,0.0,0,1,-1,0.0,0,0
