partido_id,temporada,jornada_num,local,visitante,h_win_rate_global,h_win_rate_last5,h_win_rate_home,h_win_rate_away,h_pts_fav_exp,h_pts_con_exp,h_set_win_rate,h_set_diff_exp,h_forma_home,h_forma_away,h_ultimo_set_diff,h_racha,h_n_partidos_hist,h_h2h_set_diff_exp,h_h2h_win_rate,a_win_rate_global,a_win_rate_last5,a_win_rate_home,a_win_rate_away,a_pts_fav_exp,a_pts_con_exp,a_set_win_rate,a_set_diff_exp,a_forma_home,a_forma_away,a_ultimo_set_diff,a_racha,a_n_partidos_hist,a_h2h_set_diff_exp,a_h2h_win_rate,diff_win_rate_global,diff_win_rate_last5,diff_set_win_rate,diff_set_diff_exp,diff_pts_fav_exp,diff_pts_con_exp,diff_racha,diff_ultimo_set_diff,diff_rank_season,diff_forma_efectiva,h_descanso,a_descanso,diff_descanso,h_rank_season,a_rank_season,gana_local
2024/2025_Cantù_Pinet_8Round,2024/2025,8.0,Cantù,Pineto,0.5455,0.4667,0.4348,0.6129,3.8726,3.5844,0.4817,0.2882,0.4667,0.5333,2,1,34,0.0,0.5,0.4194,0.5333,0.55,0.3333,3.2949,4.0545,0.4553,-0.7596,0.4667,0.4,1,1,21,0.0,0.5,0.1261,-0.06659999999999999,0.026400000000000035,1.0478,0.5776999999999997,-0.47009999999999996,0,1,-8,0.06669999999999998,1.0,1.0,0.0,14,6,0
2024/2025_Delta_Smart_8Round,2024/2025,8.0,Porto Viro,Fano,0.4865,0.5333,0.4839,0.5,4.0699,3.695,0.5281,0.3749,0.5333,0.4667,1,1,27,0.0,0.5,0.3571,0.4,0.4545,0.3704,3.2016,4.113,0.4313,-0.9115,0.4545,0.4,-1,-2,18,0.0,0.5,0.12940000000000002,0.13329999999999997,0.0968,1.2864,0.8682999999999996,-0.4180000000000006,3,2,18,0.13329999999999997,1.0,2.0,-1.0,4,22,1
2024/2025_Emma _Prata_8Round,2024/2025,8.0,Siena,Prata di Pordenone,0.45,0.4667,0.4,0.55,3.8661,3.9203,0.4756,-0.0542,0.6,0.4667,-1,-1,30,0.0,0.5,0.4167,0.4667,0.4667,0.4194,3.3545,4.0488,0.4591,-0.6943,0.4667,0.4667,-1,-1,26,0.0,0.5,0.033299999999999996,0.0,0.016500000000000015,0.6401,0.5116,-0.12849999999999984,0,0,7,0.13329999999999997,1.0,1.0,0.0,7,14,1
2024/2025_Evolu_Macer_8Round,2024/2025,8.0,Aversa,Macerata,0.5938,0.4667,0.4286,0.6429,3.5848,4.1565,0.516,-0.5716,0.4286,0.5333,-4,-1,22,0.0,0.5,0.5714,0.4667,0.6364,0.4375,3.5034,3.9863,0.5261,-0.4829,0.6,0.4667,-2,-3,18,0.0,0.5,0.022399999999999975,0.0,-0.010099999999999998,-0.0887,0.08139999999999992,0.17020000000000035,2,-2,0,-0.03810000000000002,1.0,1.0,0.0,14,14,1
2024/2025_Grott_Sir S_8Round,2024/2025,8.0,Grottazzolina,Perugia,0.45,0.4667,0.4706,0.4615,3.9232,3.8637,0.4812,0.0595,0.4667,0.4615,3,1,10,-3.0,0.3571,0.5897,0.4667,0.5,0.6129,3.4757,4.6226,0.4904,-1.1469,0.5333,0.5333,-3,-2,68,3.0,0.6429,-0.1397,0.0,-0.009199999999999986,1.2064,0.44750000000000023,-0.7589000000000001,3,6,-7,-0.06659999999999999,1.0,2.0,-1.0,15,8,1
2024/2025_Lube_Moden_8Round,2024/2025,8.0,Lube,Modena,0.4937,0.6,0.4603,0.5769,4.3005,2.8154,0.5287,1.4851,0.6,0.6,0,-1,69,0.226,0.5,0.4744,0.4667,0.4754,0.4815,3.5353,4.3982,0.5008,-0.863,0.4,0.5333,0,1,68,-0.645,0.5,0.01930000000000004,0.13329999999999997,0.027899999999999925,2.3481,0.7652000000000005,-1.5828000000000002,-2,0,7,0.06669999999999998,1.0,1.0,0.0,1,8,1
2024/2025_Milan_Padov_8Round,2024/2025,8.0,Milano,Padova,0.4615,0.5333,0.4423,0.5,3.6321,4.2917,0.4786,-0.6597,0.5333,0.3333,-3,-1,68,1.49,0.7222,0.3974,0.4667,0.4286,0.375,3.3275,4.824,0.4897,-1.4965,0.4667,0.4,-5,-3,68,-1.51,0.2778,0.06410000000000005,0.06659999999999999,-0.011099999999999999,0.8368,0.30459999999999976,-0.5323000000000002,2,2,8,0.13329999999999997,1.0,1.0,0.0,8,16,0
2024/2025_Mint _Veron_8Round,2024/2025,8.0,Monza,Verona,0.5,0.4,0.4,0.6316,3.9233,3.0108,0.5292,0.9126,0.4667,0.4667,5,1,68,-0.732,0.3889,0.5316,0.6,0.4545,0.5385,4.3555,3.1253,0.4744,1.2303,0.4545,0.6,1,3,69,1.397,0.6111,-0.03159999999999996,-0.19999999999999996,0.054800000000000015,-0.3177,-0.43220000000000036,-0.11450000000000005,-2,4,-15,-0.13329999999999997,1.0,1.0,0.0,17,2,1
2024/2025_Piace_Trent_8Round,2024/2025,8.0,Piacenza,Trento,0.5424,0.6,0.4444,0.5952,3.4648,4.0172,0.4978,-0.5524,0.4667,0.6,0,1,49,-1.665,0.3889,0.5385,0.5333,0.5,0.5517,3.97,3.7714,0.4924,0.1986,0.4667,0.5333,-1,-1,68,1.206,0.6111,0.0039000000000000146,0.06669999999999998,0.005400000000000016,-0.751,-0.5052000000000003,0.24580000000000002,2,1,3,-0.06659999999999999,1.0,1.0,0.0,5,8,0
2024/2025_Bresc_Evolu_9Round,2024/2025,9.0,Brescia,Aversa,0.5333,0.5333,0.5429,0.5,4.3222,3.6681,0.5167,0.654,0.5333,0.5333,0,-1,35,0.0,0.5,0.6061,0.5333,0.4667,0.6429,4.0828,3.6521,0.5232,0.4307,0.4667,0.5333,4,1,23,0.0,0.5,-0.07279999999999998,0.0,-0.00649999999999995,0.2233,0.23939999999999984,0.016000000000000014,-2,-4,0,0.0,1.0,1.0,0.0,9,9,1
2024/2025_Ciste_Grott_9Round,2024/2025,9.0,Cisterna,Grottazzolina,0.5,0.4,0.5,0.5,3.9701,3.8433,0.5475,0.1267,0.4,0.5,0,-1,16,0.4,0.5,0.4762,0.4667,0.5,0.4615,3.8888,3.688,0.4849,0.2008,0.4667,0.4615,1,2,11,0.4,0.5,0.023799999999999988,-0.06669999999999998,0.06259999999999999,-0.0741,0.08130000000000015,0.1553,-3,-1,-8,-0.0615,2.0,1.0,1.0,18,10,0
2024/2025_Cosed_Emma _9Round,2024/2025,9.0,Acicastello,Siena,0.5789,0.5333,0.5714,0.5333,4.0356,3.3788,0.5367,0.6568,0.5714,0.5333,4,1,9,0.0,0.5,0.4634,0.4667,0.4194,0.55,4.3253,3.6831,0.4811,0.6422,0.6,0.4667,3,1,31,0.0,0.5,0.11549999999999999,0.06659999999999999,0.05559999999999993,0.014600000000000057,-0.28970000000000073,-0.3043,0,1,-6,0.10470000000000002,3.0,1.0,2.0,11,5,1
2024/2025_Delta_Macer_9Round,2024/2025,9.0,Porto Viro,Macerata,0.5,0.5333,0.5,0.5,4.4554,3.0851,0.5355,1.3703,0.5333,0.4667,5,2,28,0.0,0.5,0.5517,0.4,0.6364,0.4118,3.2075,4.3382,0.5168,-1.1307,0.6,0.4,-4,-4,19,0.0,0.5,-0.05169999999999997,0.13329999999999997,0.01869999999999994,2.5010000000000003,1.2479,-1.2530999999999994,6,9,16,0.13329999999999997,1.0,1.0,0.0,2,18,1
2024/2025_Milan_Sir S_9Round,2024/2025,9.0,Milano,Perugia,0.4557,0.4667,0.434,0.5,3.4616,4.1862,0.478,-0.7246,0.5333,0.3333,-1,-2,69,-2.147,0.2778,0.5823,0.4667,0.5,0.6032,3.3519,4.4182,0.4896,-1.0663,0.5333,0.4667,-1,-3,69,2.3,0.7222,-0.12660000000000005,0.0,-0.0116,0.3417,0.10969999999999969,-0.23199999999999932,1,0,0,0.06659999999999999,1.0,1.0,0.0,12,12,0
2024/2025_Mint _Trent_9Round,2024/2025,9.0,Monza,Trento,0.5063,0.4667,0.4118,0.6316,4.4519,2.5018,0.5331,1.9501,0.5333,0.4667,5,2,69,-1.208,0.3889,0.5443,0.6,0.5,0.5593,4.2226,3.8213,0.4934,0.4013,0.4667,0.6,1,1,69,1.474,0.6111,-0.038000000000000034,-0.13329999999999997,0.03970000000000001,1.5488,0.22930000000000028,-1.3195000000000001,1,4,-8,-0.06669999999999998,1.0,1.0,0.0,13,5,0
2024/2025_Moden_Padov_9Round,2024/2025,9.0,Modena,Padova,0.4684,0.4667,0.4754,0.4643,2.8696,4.785,0.4967,-1.9153,0.4,0.4667,-5,-1,69,2.49,0.7222,0.4051,0.4667,0.4286,0.3939,3.51,4.2974,0.4907,-0.7875,0.4667,0.4667,1,1,69,-2.51,0.2778,0.06329999999999997,0.0,0.00599999999999995,-1.1278000000000001,-0.6403999999999996,0.4876000000000005,-2,-6,0,-0.06669999999999998,1.0,1.0,0.0,13,13,1
2024/2025_Piace_Veron_9Round,2024/2025,9.0,Piacenza,Verona,0.5333,0.5333,0.4286,0.5952,3.6002,4.2382,0.4968,-0.638,0.4667,0.6,-1,-1,50,0.359,0.5,0.525,0.5333,0.4545,0.5316,3.4437,3.8934,0.4705,-0.4498,0.4545,0.5333,-5,-1,70,-0.512,0.5,0.008299999999999974,0.0,0.026300000000000046,-0.18820000000000003,0.15649999999999986,0.3447999999999998,0,4,-3,-0.06659999999999999,1.0,1.0,0.0,6,3,0
