partido_id,temporada,jornada,fase,championship,equipo_local,equipo_visitante,resultado_final,set_num,puntos_local,puntos_visitante,ganador_set_local,set_largo
1997/1998_Casa _Jucke_6aRound,1997/1998,6a Round,2nd half,Regular Season A1,Casa Modena Unibon,Jucker Padova,3-0,3,15,10,1,0
1997/1998_Casa _LubeB_4aRound,1997/1998,4a Round,1st half,Regular Season A1,Casa Modena Unibon,LubeBanca Marche,3-1,1,15,9,1,0
1997/1998_Casa _LubeB_4aRound,1997/1998,4a Round,1st half,Regular Season A1,Casa Modena Unibon,LubeBanca Marche,3-1,2,10,15,0,0
1997/1998_Casa _LubeB_4aRound,1997/1998,4a Round,1st half,Regular Season A1,Casa Modena Unibon,LubeBanca Marche,3-1,3,15,10,1,0
1997/1998_Casa _LubeB_4aRound,1997/1998,4a Round,1st half,Regular Season A1,Casa Modena Unibon,LubeBanca Marche,3-1,4,15,8,1,0
1997/1998_Casa _Jucke_6aRound,1997/1998,6a Round,1st half,Regular Season A1,Jucker Padova,Casa Modena Unibon,0-3,1,11,15,0,0
1997/1998_Casa _Jucke_6aRound,1997/1998,6a Round,1st half,Regular Season A1,Jucker Padova,Casa Modena Unibon,0-3,2,0,15,0,0
1997/1998_Casa _Jucke_6aRound,1997/1998,6a Round,1st half,Regular Season A1,Jucker Padova,Casa Modena Unibon,0-3,3,13,15,0,0
1997/1998_Jucke_LubeB_5aRound,1997/1998,5a Round,2nd half,Regular Season A1,Jucker Padova,LubeBanca Marche,3-0,1,15,11,1,0
1997/1998_Jucke_LubeB_5aRound,1997/1998,5a Round,2nd half,Regular Season A1,Jucker Padova,LubeBanca Marche,3-0,2,15,10,1,0
1997/1998_Jucke_LubeB_5aRound,1997/1998,5a Round,2nd half,Regular Season A1,Jucker Padova,LubeBanca Marche,3-0,3,15,13,1,0
1997/1998_Casa _LubeB_4aRound,1997/1998,4a Round,2nd half,Regular Season A1,LubeBanca Marche,Casa Modena Unibon,2-3,1,15,6,1,0
1997/1998_Casa _LubeB_4aRound,1997/1998,4a Round,2nd half,Regular Season A1,LubeBanca Marche,Casa Modena Unibon,2-3,2,15,10,1,0
1997/1998_Casa _LubeB_4aRound,1997/1998,4a Round,2nd half,Regular Season A1,LubeBanca Marche,Casa Modena Unibon,2-3,3,14,16,0,0
1997/1998_Casa _LubeB_4aRound,1997/1998,4a Round,2nd half,Regular Season A1,LubeBanca Marche,Casa Modena Unibon,2-3,4,11,15,0,0
1997/1998_Casa _LubeB_4aRound,1997/1998,4a Round,2nd half,Regular Season A1,LubeBanca Marche,Casa Modena Unibon,2-3,5,11,15,0,0
1997/1998_Jucke_LubeB_5aRound,1997/1998,5a Round,1st half,Regular Season A1,LubeBanca Marche,Jucker Padova,3-2,1,15,4,1,0
1997/1998_Jucke_LubeB_5aRound,1997/1998,5a Round,1st half,Regular Season A1,LubeBanca Marche,Jucker Padova,3-2,2,15,12,1,0
1997/1998_Jucke_LubeB_5aRound,1997/1998,5a Round,1st half,Regular Season A1,LubeBanca Marche,Jucker Padova,3-2,3,13,15,0,0
1997/1998_Jucke_LubeB_5aRound,1997/1998,5a Round,1st half,Regular Season A1,LubeBanca Marche,Jucker Padova,3-2,4,2,15,0,0
1997/1998_Jucke_LubeB_5aRound,1997/1998,5a Round,1st half,Regular Season A1,LubeBanca Marche,Jucker Padova,3-2,5,15,10,1,0
1998/1999_Boome_Videx_6Round,1998/1999,6 Round,1st half,Regular Season A2,Boomerang Verona,Videx Grottazzolina,3-1,1,7,15,0,0
1998/1999_Boome_Videx_6Round,1998/1999,6 Round,1st half,Regular Season A2,Boomerang Verona,Videx Grottazzolina,3-1,2,15,13,1,0
1998/1999_Boome_Videx_6Round,1998/1999,6 Round,1st half,Regular Season A2,Boomerang Verona,Videx Grottazzolina,3-1,3,16,14,1,0
1998/1999_Boome_Videx_6Round,1998/1999,6 Round,1st half,Regular Season A2,Boomerang Verona,Videx Grottazzolina,3-1,4,15,12,1,0
1998/1999_Casa _Jucke_1aRound,1998/1999,1a Round,2nd half,Regular Season A1,Casa Modena Unibon,Jucker Padova,1-3,1,15,7,1,0
1998/1999_Casa _Jucke_1aRound,1998/1999,1a Round,2nd half,Regular Season A1,Casa Modena Unibon,Jucker Padova,1-3,2,11,15,0,0
1998/1999_Casa _Jucke_1aRound,1998/1999,1a Round,2nd half,Regular Season A1,Casa Modena Unibon,Jucker Padova,1-3,3,10,15,0,0
1998/1999_Casa _Jucke_1aRound,1998/1999,1a Round,2nd half,Regular Season A1,Casa Modena Unibon,Jucker Padova,1-3,4,10,15,0,0
1998/1999_Casa _Lube _6aRound,1998/1999,6a Round,2nd half,Regular Season A1,Casa Modena Unibon,Lube Banca Marche Macerata,3-0,1,15,13,1,0
1998/1999_Casa _Lube _6aRound,1998/1999,6a Round,2nd half,Regular Season A1,Casa Modena Unibon,Lube Banca Marche Macerata,3-0,2,15,8,1,0
1998/1999_Casa _Lube _6aRound,1998/1999,6a Round,2nd half,Regular Season A1,Casa Modena Unibon,Lube Banca Marche Macerata,3-0,3,15,3,1,0
1998/1999_Casa _Jucke_1aRound,1998/1999,1a Round,1st half,Regular Season A1,Jucker Padova,Casa Modena Unibon,3-2,1,10,15,0,0
1998/1999_Casa _Jucke_1aRound,1998/1999,1a Round,1st half,Regular Season A1,Jucker Padova,Casa Modena Unibon,3-2,2,15,9,1,0
1998/1999_Casa _Jucke_1aRound,1998/1999,1a Round,1st half,Regular Season A1,Jucker Padova,Casa Modena Unibon,3-2,3,13,15,0,0
1998/1999_Casa _Jucke_1aRound,1998/1999,1a Round,1st half,Regular Season A1,Jucker Padova,Casa Modena Unibon,3-2,4,17,16,1,0
1998/1999_Casa _Jucke_1aRound,1998/1999,1a Round,1st half,Regular Season A1,Jucker Padova,Casa Modena Unibon,3-2,5,15,9,1,0
1998/1999_Jucke_Lube _7aRound,1998/1999,7a Round,1st half,Regular Season A1,Jucker Padova,Lube Banca Marche Macerata,0-3,1,8,15,0,0
1998/1999_Jucke_Lube _7aRound,1998/1999,7a Round,1st half,Regular Season A1,Jucker Padova,Lube Banca Marche Macerata,0-3,2,10,15,0,0
1998/1999_Jucke_Lube _7aRound,1998/1999,7a Round,1st half,Regular Season A1,Jucker Padova,Lube Banca Marche Macerata,0-3,3,8,15,0,0
1998/1999_Casa _Lube _6aRound,1998/1999,6a Round,1st half,Regular Season A1,Lube Banca Marche Macerata,Casa Modena Unibon,1-3,1,14,16,0,0
1998/1999_Casa _Lube _6aRound,1998/1999,6a Round,1st half,Regular Season A1,Lube Banca Marche Macerata,Casa Modena Unibon,1-3,2,16,14,1,0
1998/1999_Casa _Lube _6aRound,1998/1999,6a Round,1st half,Regular Season A1,Lube Banca Marche Macerata,Casa Modena Unibon,1-3,3,10,15,0,0
1998/1999_Casa _Lube _6aRound,1998/1999,6a Round,1st half,Regular Season A1,Lube Banca Marche Macerata,Casa Modena Unibon,1-3,4,16,17,0,0
